ID,Base sku,Product sku,Category,Sub category,data__product_name,data__product_description,data__design_name,data__metal_name,data__diamond_can_be_matched_with,Price,data__qty
766,SL0001,SL0001-14K-R,ring,Solitaire,Solitaire ring in 14KT Rose Gold,"Solitaire,14KT Rose Gold",,14KT Rose Gold,"Round,Princess,Cushion,Radiant,Asscher,Emerald,Oval,Pear,Marquise,Heart",241.5,10
767,SL0001,SL0001-14K-W,ring,Solitaire,Solitaire ring in 14KT White Gold,"Solitaire,14KT White Gold",,14KT White Gold,"Round,Princess,Cushion,Radiant,Asscher,Emerald,Oval,Pear,Marquise,Heart",210,10
768,SL0001,SL0001-14K-Y,ring,Solitaire,Solitaire ring in 14KT Yellow Gold,"Solitaire,14KT Yellow Gold",,14KT Yellow Gold,"Round,Princess,Cushion,Radiant,Asscher,Emerald,Oval,Pear,Marquise,Heart",210,10
769,SL0001,SL0001-18K-R,ring,Solitaire,Solitaire ring in 18KT Rose Gold,"Solitaire,18KT Rose Gold",,18KT Rose Gold,"Round,Princess,Cushion,Radiant,Asscher,Emerald,Oval,Pear,Marquise,Heart",351.75,10
770,SL0001,SL0001-18K-W,ring,Solitaire,Solitaire ring in 18KT White Gold,"Solitaire,18KT White Gold",,18KT White Gold,"Round,Princess,Cushion,Radiant,Asscher,Emerald,Oval,Pear,Marquise,Heart",320.25,10
771,SL0001,SL0001-18K-Y,ring,Solitaire,Solitaire ring in 18KT Yellow Gold,"Solitaire,18KT Yellow Gold",,18KT Yellow Gold,"Round,Princess,Cushion,Radiant,Asscher,Emerald,Oval,Pear,Marquise,Heart",320.25,10
772,SL0001,SL0001-P-W,ring,Solitaire,Solitaire ring in Platinum,"Solitaire,Platinum",,Platinum,"Round,Princess,Cushion,Radiant,Asscher,Emerald,Oval,Pear,Marquise,Heart",409.5,10
